SPDP;Version;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank;Notes;SkillAttack
SP;17;Step This Way;challenge;17;994810;AAA;GFC;977;9;664/39;49.23
SP;16;び;expert;17;990830;AAA;GFC;977;9;743/16;47.88
SP;15;朧 (dj TAKA Remix);challenge;16;997970;AAA;GFC;992;EX;616/31;47.35
SP;19;弾幕信仰;expert;16;996790;AAA;GFC;992;EX;693/4;46.97
SP;18;DUAL STRIKER;expert;17;987130;AA+;FC;977;9;652/26;46.62
SP;17;AI;expert;16;995580;AAA;GFC;992;EX;479/69;46.58
SP;18;Metamorphic;expert;16;994420;AAA;GFC;992;EX;597/1;46.21
SP;15;ANNIVERSARY ∴∵∴ ←↓↑→;expert;16;994330;AAA;GFC;992;EX;654/16;46.18
SP;15;Life is beautiful;expert;16;994220;AAA;GFC;992;EX;616/37;46.15
SP;17;In the past;expert;16;993580;AAA;GFC;992;EX;490/13;45.94
SP;16;Firestorm;expert;16;992650;AAA;GFC;954;9;492/36;45.64
SP;14;POSSESSION(EDP Live Mix);expert;16;992380;AAA;GFC;954;9;604/21;45.56
SP;18;Jungle Dance;expert;16;992020;AAA;FC;657;1;603/27;45.44
SP;19;DIAVOLO;expert;16;991760;AAA;GFC;657;1;652/29;45.36
SP;11;POSSESSION;expert;17;982800;AA+;Clear;673;1;612/13;45.15
SP;11;Sakura Sunrise;challenge;16;990730;AAA;Clear;954;9;507/40;45.03
SP;15;ナイト・オブ・ナイツ;challenge;16;990400;AAA;Clear;954;9;712/11;44.92
SP;11;I'm so Happy;challenge;16;990340;AAA;GFC;954;9;535/16;44.9
SP;13;お米の美味しい炊き方、そしてお米を食べることによるその効果。;expert;16;990280;AAA;GFC;954;9;679/6;44.88
SP;15;SUPER SUMMER SALE;expert;15;998640;AAA;GFC;960;EX;616/14;44.59
SP;19;Ødyssey;challenge;16;989340;AA+;GFC;992;EX;504/24;44.58
SP;15;Start a New Day;expert;15;998560;AAA;GFC;960;EX;521/9;44.56
SP;18;My Drama;expert;15;998070;AAA;GFC;960;EX;598/14;44.42
SP;19;残像ニ繋ガレタ追憶ノHIDEAWAY;expert;15;998020;AAA;GFC;960;EX;642/15;44.4
SP;13;Desert Journey;challenge;15;997840;AAA;GFC;960;EX;456/16(35);44.35
SP;11;roppongi EVOLVED ver.A;expert;15;997830;AAA;GFC;960;EX;495/28;44.34
SP;18;Snow Garland Fairy;expert;17;980380;AA+;GFC;977;9;593/6;44.32
SP;18;ナナホシ;expert;15;997730;AAA;GFC;960;EX;526/4;44.31
SP;15;ロストワンの号哭;challenge;15;997530;AAA;GFC;960;EX;677/61;44.25
SP;16;BLACK JACKAL;expert;15;997190;AAA;GFC;960;EX;502/22;44.15
