SPDP;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank
SP;蒼い衝動 ～for EXTREME～;beginner;Lv;0;NONE;Noplay;0;NONE
SP;蒼い衝動 ～for EXTREME～;basic;Lv;0;NONE;Noplay;0;NONE
SP;蒼い衝動 ～for EXTREME～;difficult;Lv;0;NONE;Noplay;0;NONE
SP;蒼い衝動 ～for EXTREME～;expert;Lv;0;NONE;Noplay;0;NONE
SP;蒼が消えるとき;beginner;Lv;0;NONE;Noplay;0;NONE
SP;蒼が消えるとき;basic;Lv;0;NONE;Noplay;0;NONE
SP;蒼が消えるとき;difficult;Lv;0;NONE;Noplay;0;NONE
SP;蒼が消えるとき;expert;Lv;976040;AA+;GFC;540;1
SP;朝色の紙飛行機;beginner;Lv;0;NONE;Noplay;0;NONE
SP;朝色の紙飛行機;basic;Lv;0;NONE;Noplay;0;NONE
SP;朝色の紙飛行機;difficult;Lv;0;NONE;Noplay;0;NONE
SP;朝色の紙飛行機;expert;Lv;869030;A+;Clear;0;NONE
SP;アドレナリン;beginner;Lv;0;NONE;Noplay;0;NONE
SP;アドレナリン;basic;Lv;0;NONE;Noplay;0;NONE
SP;アドレナリン;difficult;Lv;0;NONE;Noplay;0;NONE
SP;アドレナリン;expert;Lv;0;NONE;Noplay;0;NONE
SP;天ノ弱;beginner;Lv;977760;AA+;GFC;0;NONE
SP;天ノ弱;basic;Lv;991480;AAA;GFC;0;NONE
SP;天ノ弱;difficult;Lv;986990;AA+;Clear;640;EX
SP;天ノ弱;expert;Lv;980040;AA+;GFC;0;NONE
SP;妖隠し -あやかしかくし-;beginner;Lv;0;NONE;Noplay;0;NONE
SP;妖隠し -あやかしかくし-;basic;Lv;861520;A+;Clear;0;NONE
SP;妖隠し -あやかしかくし-;difficult;Lv;0;NONE;Noplay;0;NONE
SP;妖隠し -あやかしかくし-;expert;Lv;994800;AAA;GFC;885;9
SP;アユミ☆マジカルショータイム;beginner;Lv;0;NONE;Noplay;0;NONE
SP;アユミ☆マジカルショータイム;basic;Lv;0;NONE;Noplay;0;NONE
SP;アユミ☆マジカルショータイム;difficult;Lv;0;NONE;Noplay;0;NONE
SP;アユミ☆マジカルショータイム;expert;Lv;992370;AAA;GFC;0;NONE
SP;アリスサイド・キャスリング;beginner;Lv;0;NONE;Noplay;0;NONE
SP;アリスサイド・キャスリング;basic;Lv;0;NONE;Noplay;0;NONE
SP;アリスサイド・キャスリング;difficult;Lv;0;NONE;Noplay;0;NONE
SP;アリスサイド・キャスリング;expert;Lv;993600;AAA;GFC;640;EX
SP;アルストロメリア (walk with you remix);beginner;Lv;0;NONE;Noplay;0;NONE
SP;アルストロメリア (walk with you remix);basic;Lv;0;NONE;Noplay;0;NONE
SP;アルストロメリア (walk with you remix);difficult;Lv;0;NONE;Noplay;0;NONE
SP;アルストロメリア (walk with you remix);expert;Lv;994190;AAA;GFC;744;EX
SP;アルストロメリア (walk with you remix);challenge;Lv;994810;AAA;GFC;872;EX
SP;阿波おどり -Awaodori- やっぱり踊りはやめられない;beginner;Lv;0;NONE;Noplay;0;NONE
SP;阿波おどり -Awaodori- やっぱり踊りはやめられない;basic;Lv;0;NONE;Noplay;0;NONE
SP;阿波おどり -Awaodori- やっぱり踊りはやめられない;difficult;Lv;0;NONE;Noplay;0;NONE
SP;阿波おどり -Awaodori- やっぱり踊りはやめられない;expert;Lv;786940;B+;Clear;0;NONE
SP;いーあるふぁんくらぶ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;いーあるふぁんくらぶ;basic;Lv;0;NONE;Noplay;0;NONE
SP;いーあるふぁんくらぶ;difficult;Lv;996570;AAA;GFC;0;NONE
SP;いーあるふぁんくらぶ;expert;Lv;997280;AAA;GFC;0;NONE
SP;イーディーエム・ジャンパーズ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;イーディーエム・ジャンパーズ;basic;Lv;0;NONE;Noplay;0;NONE
SP;イーディーエム・ジャンパーズ;difficult;Lv;0;NONE;Noplay;0;NONE
SP;イーディーエム・ジャンパーズ;expert;Lv;954440;AA+;Clear;0;NONE
SP;怒れる大きな白い馬;beginner;Lv;0;NONE;Noplay;0;NONE
SP;怒れる大きな白い馬;basic;Lv;0;NONE;Noplay;0;NONE
SP;怒れる大きな白い馬;difficult;Lv;0;NONE;Noplay;0;NONE
SP;怒れる大きな白い馬;expert;Lv;945750;AA;FC;0;NONE
SP;一途;beginner;Lv;0;NONE;Noplay;0;NONE
SP;一途;basic;Lv;0;NONE;Noplay;0;NONE
SP;一途;difficult;Lv;0;NONE;Noplay;0;NONE
SP;一途;expert;Lv;954960;AA+;Clear;0;NONE
SP;鋳鉄の檻;beginner;Lv;0;NONE;Noplay;0;NONE
SP;鋳鉄の檻;basic;Lv;0;NONE;Noplay;0;NONE
SP;鋳鉄の檻;difficult;Lv;0;NONE;Noplay;0;NONE
SP;鋳鉄の檻;expert;Lv;934010;AA;FC;0;NONE
SP;イノセントバイブル;beginner;Lv;0;NONE;Noplay;0;NONE
SP;イノセントバイブル;basic;Lv;0;NONE;Noplay;0;NONE
SP;イノセントバイブル;difficult;Lv;0;NONE;Noplay;0;NONE
SP;イノセントバイブル;expert;Lv;992300;AAA;GFC;640;EX
SP;イマココ！この瞬間;beginner;Lv;0;NONE;Noplay;0;NONE
SP;イマココ！この瞬間;basic;Lv;0;NONE;Noplay;0;NONE
SP;イマココ！この瞬間;difficult;Lv;0;NONE;Noplay;0;NONE
SP;イマココ！この瞬間;expert;Lv;993630;AAA;GFC;816;EX
SP;色は匂へど散りぬるを;beginner;Lv;520780;E;Noplay;0;NONE
SP;色は匂へど散りぬるを;basic;Lv;0;NONE;Noplay;0;NONE
SP;色は匂へど散りぬるを;difficult;Lv;988250;AA+;GFC;0;NONE
SP;色は匂へど散りぬるを;expert;Lv;997120;AAA;GFC;744;EX
SP;ヴァンパイア;beginner;Lv;999930;AAA;PFC;248;EX
SP;ヴァンパイア;basic;Lv;0;NONE;Noplay;0;NONE
SP;ヴァンパイア;difficult;Lv;0;NONE;Noplay;0;NONE
SP;ヴァンパイア;expert;Lv;995180;AAA;Clear;839;9
SP;↑↑↓↓←→←→BA;beginner;Lv;0;NONE;Noplay;0;NONE
SP;↑↑↓↓←→←→BA;basic;Lv;0;NONE;Noplay;0;NONE
SP;↑↑↓↓←→←→BA;difficult;Lv;0;NONE;Noplay;0;NONE
SP;↑↑↓↓←→←→BA;expert;Lv;814410;A;Clear;0;NONE
SP;ウサテイ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;ウサテイ;basic;Lv;994720;AAA;GFC;464;EX
SP;ウサテイ;difficult;Lv;0;NONE;Noplay;0;NONE
SP;ウサテイ;expert;Lv;991700;AAA;GFC;885;9
SP;ウサテイ;challenge;Lv;918630;AA;Clear;673;1
SP;ウソツキ横丁は雨模様;beginner;Lv;0;NONE;Noplay;0;NONE
SP;ウソツキ横丁は雨模様;basic;Lv;0;NONE;Noplay;0;NONE
SP;ウソツキ横丁は雨模様;difficult;Lv;0;NONE;Noplay;0;NONE
SP;ウソツキ横丁は雨模様;expert;Lv;992620;AAA;GFC;744;EX
SP;梅雪夜;beginner;Lv;0;NONE;Noplay;0;NONE
SP;梅雪夜;basic;Lv;0;NONE;Noplay;0;NONE
SP;梅雪夜;difficult;Lv;0;NONE;Noplay;0;NONE
SP;梅雪夜;expert;Lv;992370;AAA;GFC;885;9
SP;エイリアンエイリアン;beginner;Lv;0;NONE;Noplay;0;NONE
SP;エイリアンエイリアン;basic;Lv;0;NONE;Noplay;0;NONE
SP;エイリアンエイリアン;difficult;Lv;814080;A;Clear;0;NONE
SP;エイリアンエイリアン;expert;Lv;955450;AA+;FC;0;NONE
SP;エキサイティング！！も・ちゃ・ちゃ☆;beginner;Lv;989140;AA+;Clear;284;9
SP;エキサイティング！！も・ちゃ・ちゃ☆;basic;Lv;0;NONE;Noplay;0;NONE
SP;エキサイティング！！も・ちゃ・ちゃ☆;difficult;Lv;827480;A;Clear;0;NONE
SP;エキサイティング！！も・ちゃ・ちゃ☆;expert;Lv;992650;AAA;GFC;872;EX
SP;エンドルフィン;beginner;Lv;0;NONE;Noplay;0;NONE
SP;エンドルフィン;basic;Lv;0;NONE;Noplay;0;NONE
SP;エンドルフィン;difficult;Lv;0;NONE;Noplay;0;NONE
SP;エンドルフィン;expert;Lv;979440;AA+;Clear;924;9
SP;おーまい！らぶりー！すうぃーてぃ！だーりん！;beginner;Lv;0;NONE;Noplay;0;NONE
SP;おーまい！らぶりー！すうぃーてぃ！だーりん！;basic;Lv;0;NONE;Noplay;0;NONE
SP;おーまい！らぶりー！すうぃーてぃ！だーりん！;difficult;Lv;986740;AA+;GFC;0;NONE
SP;おーまい！らぶりー！すうぃーてぃ！だーりん！;expert;Lv;994890;AAA;GFC;960;EX
SP;お米の美味しい炊き方、そしてお米を食べることによるその効果。;beginner;Lv;0;NONE;Noplay;0;NONE
SP;お米の美味しい炊き方、そしてお米を食べることによるその効果。;basic;Lv;0;NONE;Noplay;0;NONE
SP;お米の美味しい炊き方、そしてお米を食べることによるその効果。;difficult;Lv;977920;AA+;FC;0;NONE
SP;お米の美味しい炊き方、そしてお米を食べることによるその効果。;expert;Lv;990280;AAA;GFC;954;9
SP;御千手メディテーション;beginner;Lv;0;NONE;Noplay;0;NONE
SP;御千手メディテーション;basic;Lv;0;NONE;Noplay;0;NONE
SP;御千手メディテーション;difficult;Lv;0;NONE;Noplay;0;NONE
SP;御千手メディテーション;expert;Lv;925000;AA;Clear;0;NONE
SP;御伽噺に幕切れを;beginner;Lv;0;NONE;Noplay;0;NONE
SP;御伽噺に幕切れを;basic;Lv;0;NONE;Noplay;0;NONE
SP;御伽噺に幕切れを;difficult;Lv;0;NONE;Noplay;0;NONE
SP;御伽噺に幕切れを;expert;Lv;994990;AAA;GFC;872;EX
SP;乙女繚乱 舞い咲き誇れ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;乙女繚乱 舞い咲き誇れ;basic;Lv;0;NONE;Noplay;0;NONE
SP;乙女繚乱 舞い咲き誇れ;difficult;Lv;0;NONE;Noplay;0;NONE
SP;乙女繚乱 舞い咲き誇れ;expert;Lv;995130;AAA;GFC;872;EX
SP;踊れ！！バーチャルアニマル！！;beginner;Lv;0;NONE;Noplay;0;NONE
SP;踊れ！！バーチャルアニマル！！;basic;Lv;0;NONE;Noplay;0;NONE
SP;踊れ！！バーチャルアニマル！！;difficult;Lv;0;NONE;Noplay;0;NONE
SP;踊れ！！バーチャルアニマル！！;expert;Lv;995770;AAA;GFC;960;EX
SP;おねがいダーリン;beginner;Lv;0;NONE;Noplay;0;NONE
SP;おねがいダーリン;basic;Lv;0;NONE;Noplay;0;NONE
SP;おねがいダーリン;difficult;Lv;995510;AAA;GFC;0;NONE
SP;おねがいダーリン;expert;Lv;999460;AAA;PFC;0;NONE
SP;朧;beginner;Lv;0;NONE;Noplay;0;NONE
SP;朧;basic;Lv;0;NONE;Noplay;0;NONE
SP;朧;difficult;Lv;0;NONE;Noplay;0;NONE
SP;朧;expert;Lv;997480;AAA;GFC;744;EX
SP;朧;challenge;Lv;996650;AAA;GFC;872;EX
SP;朧 (dj TAKA Remix);beginner;Lv;0;NONE;Noplay;0;NONE
SP;朧 (dj TAKA Remix);basic;Lv;0;NONE;Noplay;0;NONE
SP;朧 (dj TAKA Remix);difficult;Lv;0;NONE;Noplay;0;NONE
SP;朧 (dj TAKA Remix);expert;Lv;999460;AAA;PFC;0;NONE
SP;朧 (dj TAKA Remix);challenge;Lv;997970;AAA;GFC;992;EX
SP;女言葉の消失;beginner;Lv;0;NONE;Noplay;0;NONE
SP;女言葉の消失;basic;Lv;0;NONE;Noplay;0;NONE
SP;女言葉の消失;difficult;Lv;0;NONE;Noplay;0;NONE
SP;女言葉の消失;expert;Lv;847410;A;Clear;0;NONE
SP;革命;beginner;Lv;0;NONE;Noplay;0;NONE
SP;革命;basic;Lv;0;NONE;Noplay;0;NONE
SP;革命;difficult;Lv;0;NONE;Noplay;0;NONE
SP;革命;expert;Lv;755440;B+;Clear;0;NONE
SP;革命;challenge;Lv;0;NONE;Noplay;0;NONE
SP;革命(X-Special);challenge;Lv;973860;AA+;GFC;885;9
SP;革命パッショネイト;beginner;Lv;0;NONE;Noplay;0;NONE
SP;革命パッショネイト;basic;Lv;0;NONE;Noplay;0;NONE
SP;革命パッショネイト;difficult;Lv;0;NONE;Noplay;0;NONE
SP;革命パッショネイト;expert;Lv;995310;AAA;GFC;872;EX
SP;カゲロウ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;カゲロウ;basic;Lv;0;NONE;Noplay;0;NONE
SP;カゲロウ;difficult;Lv;0;NONE;Noplay;0;NONE
SP;カゲロウ;expert;Lv;0;NONE;Noplay;0;NONE
SP;彼方のリフレシア;beginner;Lv;0;NONE;Noplay;0;NONE
SP;彼方のリフレシア;basic;Lv;0;NONE;Noplay;0;NONE
SP;彼方のリフレシア;difficult;Lv;0;NONE;Noplay;0;NONE
SP;彼方のリフレシア;expert;Lv;990180;AAA;FC;924;9
SP;からふるぱすてる;beginner;Lv;0;NONE;Noplay;0;NONE
SP;からふるぱすてる;basic;Lv;0;NONE;Noplay;0;NONE
SP;からふるぱすてる;difficult;Lv;0;NONE;Noplay;0;NONE
SP;からふるぱすてる;expert;Lv;916400;AA;Clear;0;NONE
SP;カラフルミニッツ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;カラフルミニッツ;basic;Lv;0;NONE;Noplay;0;NONE
SP;カラフルミニッツ;difficult;Lv;0;NONE;Noplay;0;NONE
SP;カラフルミニッツ;expert;Lv;0;NONE;Noplay;0;NONE
SP;患部で止まってすぐ溶ける～狂気の優曇華院;beginner;Lv;0;NONE;Noplay;0;NONE
SP;患部で止まってすぐ溶ける～狂気の優曇華院;basic;Lv;0;NONE;Noplay;0;NONE
SP;患部で止まってすぐ溶ける～狂気の優曇華院;difficult;Lv;873340;A+;Clear;0;NONE
SP;患部で止まってすぐ溶ける～狂気の優曇華院;expert;Lv;992930;AAA;GFC;920;EX
SP;患部で止まってすぐ溶ける～狂気の優曇華院;challenge;Lv;839760;A;Clear;0;NONE
SP;キケンな果実;beginner;Lv;0;NONE;Noplay;0;NONE
SP;キケンな果実;basic;Lv;0;NONE;Noplay;0;NONE
SP;キケンな果実;difficult;Lv;0;NONE;Noplay;0;NONE
SP;キケンな果実;expert;Lv;0;NONE;Noplay;0;NONE
SP;キヤロラ衛星の軌跡;beginner;Lv;0;NONE;Noplay;0;NONE
SP;キヤロラ衛星の軌跡;basic;Lv;0;NONE;Noplay;0;NONE
SP;キヤロラ衛星の軌跡;difficult;Lv;955310;AA+;Clear;0;NONE
SP;キヤロラ衛星の軌跡;expert;Lv;984350;AA+;Life4;657;1
SP;きゅうくらりん;beginner;Lv;0;NONE;Noplay;0;NONE
SP;きゅうくらりん;basic;Lv;0;NONE;Noplay;0;NONE
SP;きゅうくらりん;difficult;Lv;0;NONE;Noplay;0;NONE
SP;きゅうくらりん;expert;Lv;979790;AA+;GFC;839;9
SP;きゅん×きゅんばっきゅん☆LOVE;beginner;Lv;0;NONE;Noplay;0;NONE
SP;きゅん×きゅんばっきゅん☆LOVE;basic;Lv;0;NONE;Noplay;0;NONE
SP;きゅん×きゅんばっきゅん☆LOVE;difficult;Lv;0;NONE;Noplay;0;NONE
SP;きゅん×きゅんばっきゅん☆LOVE;expert;Lv;0;NONE;Noplay;0;NONE
SP;鏡花水月楼 (DDR EDITION);beginner;Lv;0;NONE;Noplay;0;NONE
SP;鏡花水月楼 (DDR EDITION);basic;Lv;0;NONE;Noplay;0;NONE
