SPDP;Version;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank;Notes
SP;0;MAKE IT BETTER;beginner;3;0;NONE;Noplay;0;NONE;67/0
SP;0;MAKE IT BETTER;basic;7;0;NONE;Noplay;0;NONE;143/0
SP;0;MAKE IT BETTER;difficult;9;0;NONE;Noplay;0;NONE;188/0
SP;0;MAKE IT BETTER;expert;11;987990;AA+;GFC;0;NONE;212/0
SP;0;PARANOiA;beginner;4;0;NONE;Noplay;0;NONE;138/0
SP;0;PARANOiA;basic;8;0;NONE;Noplay;0;NONE;264/0
SP;0;PARANOiA;difficult;9;0;NONE;Noplay;0;NONE;275/0
SP;0;PARANOiA;expert;11;984180;AA+;GFC;0;NONE;319/0
SP;0;TRIP MACHINE;beginner;3;0;NONE;Noplay;0;NONE;106/0
SP;0;TRIP MACHINE;basic;8;0;NONE;Noplay;0;NONE;191/0
SP;0;TRIP MACHINE;difficult;9;0;NONE;Noplay;0;NONE;211/0
SP;0;TRIP MACHINE;expert;10;994340;AAA;GFC;0;NONE;230/0
SP;1;AM-3P;beginner;3;0;NONE;Noplay;0;NONE;74/0
SP;1;AM-3P;basic;7;0;NONE;Noplay;0;NONE;164/0
SP;1;AM-3P;difficult;8;287790;E;Noplay;0;NONE;195/0
SP;1;AM-3P;expert;11;994430;AAA;GFC;0;NONE;244/0
SP;1;BRILLIANT 2U;beginner;3;0;NONE;Noplay;0;NONE;95/0
SP;1;BRILLIANT 2U;basic;6;0;NONE;Noplay;0;NONE;162/0
SP;1;BRILLIANT 2U;difficult;6;0;NONE;Noplay;0;NONE;176/0
SP;1;BRILLIANT 2U;expert;10;997880;AAA;GFC;0;NONE;225/0
SP;1;BRILLIANT 2U;challenge;10;999830;AAA;PFC;640;EX;264/0
SP;1;BRILLIANT 2U(Orchestra Groove);beginner;4;0;NONE;Noplay;0;NONE;100/0
SP;1;BRILLIANT 2U(Orchestra Groove);basic;6;0;NONE;Noplay;0;NONE;166/0
SP;1;BRILLIANT 2U(Orchestra Groove);difficult;8;0;NONE;Noplay;0;NONE;187/0
SP;1;BRILLIANT 2U(Orchestra Groove);expert;9;995930;AAA;GFC;0;NONE;226/0
SP;1;BRILLIANT 2U(Orchestra Groove);challenge;12;992820;AAA;GFC;0;NONE;309/0
SP;1;e-motion;beginner;2;0;NONE;Noplay;0;NONE;54/0
SP;1;e-motion;basic;5;0;NONE;Noplay;0;NONE;99/0
SP;1;e-motion;difficult;6;0;NONE;Noplay;0;NONE;122/0
